Title,Release Year,Parent Rating,genre,Summary,Writers,Stars,Direcctor
Encanto,,,Drama,A coming of age story set in 1960s Puerto Rico.,,Carlos Rivera Fernandez,
Dubara,,,Adventure,A group of people search for a mysterious object that promises fantastic wealth to the one who finds it.,Darlington Chukwunyere,"Jerry Amilo, Gloria Eberechi, Belinda Effah",Toka McBaror
Antim: The Final Truth,2021,,"Action, Crime, Drama",The cop played by Salman fights the land mafia in the film.,"Mahesh Manjrekar, Abhijeet Shirish Deshpande, Siddharth Salvi","Salman Khan, Aayush Sharma, Mahima Makwana",Mahesh Manjrekar
Satyameva Jayate 2,2021,,"Action, Crime, Drama","Satyameva Jayate 2 revolves around the fight against injustice and misuse of power. From police and politicians to industrialists and a common man, the film will explore corruption in all spheres.",Milap Zaveri,"John Abraham, Divya Khosla Kumar, Harsh Chhaya",Milap Zaveri
Behind the Faces,,,Drama,,,"Jessica Agu, Uzor Arukwe, Bryan Emmanuel",
Tadap,2021,,"Action, Drama, Romance",Unforeseen circumstances threaten the passionate relationship between star-crossed lovers.,"Rajat Arora, Ajay Bhupathi","Ahan Shetty, Tara Sutaria, Saurabh Shukla",Milan Luthria
Tadap,2019,,Drama,,,,
Tadap,1990,,Drama,,,"Sujata Mehta, Chunky Pandey, Nana Patekar",
Tadap,,,Action,,,"Navin Nischol, Beena Banerjee, Mohan Gokhale",
Tadap,2005,,Romance,,,"Uttar Kumar, Sweta",
Spider-Man: No Way Home,2021,PG-13,"Action, Adventure, Fantasy","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Zendaya, Benedict Cumberbatch",Jon Watts
Aki & PawPaw,2002,,Comedy,,,"Osita Iheme, Chinedu Ikedieze",
Ajibade,,,Drama,,,"Muyiwa Ademola, Eniola Ajao, Bolaji Amusan",
Clifford the Big Red Dog,2021,PG,"Adventure, Comedy, Family",A young girl's love for a tiny puppy named Clifford makes the dog grow to an enormous size.,"Jay Scherick, David Ronn, Blaise Hemingway","Darby Camp, Jack Whitehall, Izaac Wang",Walt Becker
Clifford the Big Red Dog,2000–2003,,"Animation, Short, Comedy",The adventures of a larger-than-life red dog on Bridwell Island.,,"Antonio Delli, John Ritter, Grey Griffin",
Clifford the Big Red Dog,2019–2021,,Animation,An animated TV series based on the popular children's book series 'Clifford the Big Red Dog'.,,"Hannah Levinson, Adam Sanders, Jazz Stewart",
Clifford the Big Red Dog,1988,,"Animation, Comedy, Family",This is the original Clifford cartoon from the 1980s. It was released in 1988 and it was produced by Nelvana.,,"Arthur Howard, Jan Neuberger, Brent Titcomb",
Shero,,,Thriller,,Sreejith Vijayan,"Sunny Leone, Rajesh Keshav",Sreejith Vijayan
Coming to Africa,2020,,"Comedy, Drama, Romance","Adrian (Anwar Jamison), a philandering financial executive, has spent his entire life shunning Black consciousness and chasing corporate success. Adrian's brother, Buck (Khalil Kain), is an activist who routinely holds community meetings in his barber shop. After a perfect storm of disappointment and discrimination, Adrian finds himself in Ghana on an amusing adventur... Read all",Anwar Jamison,"Khalil Kain, Nana Ama McBrown, David Dontoh",Anwar Jamison
Chandigarh Kare Aashiqui,2021,,"Comedy, Crime, Drama","Manu, a bodybuilder from Chandigarh falls in love with Maanvi, a male Zumba teacher disguised as a woman.","Supratik Sen, Tushar Paranjape, Abhishek Kapoor","Ayushmann Khurrana, Vaani Kapoor, Yograj Singh",Abhishek Kapoor
Christmas in Miami,,,Comedy,"Christmas in Miami is the fourth instalment of the AKPOS Nollywood film series created by renowned Nigerian comedian AYO MAKUN popularly known as 'AY'. Following on from his rib cracking and havoc wrecking adventures in 30 DAYS IN ATLANTA, A TRIP TO JAMAICA and TEN DAYS IN SUNCITY, this time Akpos jets off with his family to the exotic city of Miami, Florida to repres... Read all","Ayo Makun, Patrick Nnamani, Keni Ogunlola","Manoj Chandra, Verne Alexandre, Malcolm Burchett",Robert Peters
Sing 2,2021,PG,"Animation, Adventure, Comedy",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson",Garth Jennings
Superstar,1999,PG-13,"Comedy, Romance","A nerdy Catholic schoolgirl, Mary Katherine Gallagher, dreams of superstardom.","Molly Shannon, Steve Koren","Molly Shannon, Will Ferrell, Elaine Hendrix",Bruce McCulloch
The 355,2022,PG-13,"Action, Thriller","When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.","Theresa Rebeck, Simon Kinberg","Jessica Chastain, Penélope Cruz, Bingbing Fan",Simon Kinberg
Savannah,1996–1997,,Drama,"Following the lives of three best friends who have grown up together in Savannah, Georgia. Lane McKenzie left Savannah after college to become a big journalist in New York. She returned for her best friend Reese Burton's wedding to Travis Peterson. After finding out that her New York apartment was robbed, Lane tries to collect on an inheritance, only to find out that ... Read all",,"Robyn Lively, Jamie Luner, Shannon Sturges",
Savannah,2013,PG-13,"Drama, Family, History",Drama about the friendship between an Oxford-educated Southerner and a former black slave in turn-of-the-century Savannah.,"Ken Carter, Annette Haywood-Carter, John Eugene Cay Jr.","Jim Caviezel, Chiwetel Ejiofor, Jaimie Alexander",Annette Haywood-Carter
Over Her Dead Body,2008,PG-13,"Comedy, Fantasy, Romance",A ghost tries to sabotage her former boyfriend's current relationship with a psychic.,Jeff Lowell,"Eva Longoria, Paul Rudd, Lake Bell",Jeff Lowell
Over Her Dead Body,,,Drama,"A mother decides it's high time she had grandchildren, and begins interfering in the lives of her son and daughter-in-law.",Sola Osofisan,"Adenike Ayodele, Patrick Fakoya, Onyeka Fiaka",Sola Osofisan
Terminus,2015,R,"Drama, Sci-Fi","Following a near-fatal accident, David Chamberlain makes an unprecedented discovery that will not only determine the fate of his family, but of mankind.","Marc Furmie, Shiyan Zheng, Gabriel Dowrick","Jai Koutrae, Todd Lasance, Kendra Appleton",Marc Furmie
Terminus,1987,PG,"Action, Sci-Fi","In a sort of ""Mad Max"" futuristic adventure, an international sport has been established where a driver of a computerized truck must drive across country to an established terminus and not be stopped by other vehicles. The lead truck, called ""Monster"" has been created by a boy genius and is to be driven by a woman through the course. The only problem is the computer g... Read all","Pierre-William Glenn, Patrice Duvic, Alain Gillot","Karen Allen, Jürgen Prochnow, Johnny Hallyday",Pierre-William Glenn
Tom & Jerry,2021,PG,"Animation, Adventure, Comedy","A chaotic battle ensues between Jerry Mouse, who has taken refuge in the Royal Gate Hotel, and Tom Cat, who is hired to drive him away before the day of a big wedding arrives.","William Hanna, Joseph Barbera, Kevin Costello","Chloë Grace Moretz, Michael Peña, Colin Jost",Tim Story
Rancor,,,Crime,"When a girl witnesses her parents murder, she sets out to find the killer. But she discovers a terrible truth about her past... and her future.",Jesse Frank,"Dexter Matthews, Edward Alonzo Russell, Davey Moore",Jesse Frank
Rancor,,,Drama,"Dasola hates her brother Murewa, a fact that breaks their mother's heart. When Dasola gets into a fight with her boyfriend that leads to a federal crime, the family must come together to make a sacrifice.",,"Lateef Adedimeji, Taiwo Adeyemi, Paschaline Alex",
Rancor,,,Crime,,"See writer, See producer",See preliminary cast,See company contact information
The Razz Guy,2021,PG,"Comedy, Fantasy","When an international business merger is assigned to a rude and condescending senior executive, a curse that affects his ability to speak properly is cast on him by an office cleaner.","Egbemawei Dimiyei Sammy, Africa Ukoh","Lasisi Elenu, Nancy Isime, Omotunde Adebowale David",Udoka Oyeka
Singleholic,2022,R,Romance,"Story of a woman who moves to Mauritius to complete her PhD after a painful breakup with her boyfriend. While there, she goes on a series of dating encounters only to realize that the key to happiness is for her to first be comfortable in her own skin.","Bryan Barber, Katharine Birbalsingh, Julia White","Stephen Bishop, Vanessa Williams, Adrian Martinez",Bryan Barber
Juju Stories,2021,18,"Drama, Fantasy, Horror","A three-part anthology film exploring juju (magical) stories rooted in Nigerian folklore and urban legend, written and directed by the Nigerian new wave cinema collective known as Surreal16.","Abba Makama, C.J. 'Fiery' Obasi, Michael Omonua","Belinda Agedah Yanga, Paul Utomi, Elvis Poko",Abba Makama
Dinner at My Place,,,"Comedy, Romance",,Kevin Luther Apaa,"Bisola Aiyeola, Sophie Alakija, Timini Egbuson",Kevin Luther Apaa
Lamba,,,,Happy families gets the hardships and ups and downs of the family with the illness of their beloved young girl.,,"Welela Assefa, Meron Engeda, Girum Ermias",
Sonchiriya,2019,Not Rated,"Action, Crime, Drama","Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands.","Sudip Sharma, Abhishek Chaubey","Sushant Singh Rajput, Bhumi Pednekar, Ashutosh Rana",Abhishek Chaubey
Junglee,2019,Not Rated,"Action, Adventure, Thriller","The story revolves around a vet, who on his homecoming to his father's elephant reserve, encounters and fights an international poachers racket.","Adam Prince, Chuck Russell, Ritesh Shah","Vidyut Jammwal, Lars Kjeldsen, Asha Bhat",Chuck Russell
Junglee,1961,,"Comedy, Drama, Musical",A humorless and pompous businessman goes wild when he falls in love. Now if only his domineering mother could understand his new lease on life.,"Agha Jani Kashmiri, Subodh Mukherji","Shammi Kapoor, Saira Banu, Shashikala Jawalkar",Subodh Mukherji
Junglee,2009,,Drama,,Duniya Soori,"Rangayana Raghu, Aindrita Ray, Duniya Vijay",Duniya Soori
Lucifer,2016–2021,,"Crime, Drama, Fantasy",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,,"Tom Ellis, Lauren German, Kevin Alejandro",
Lucifer,2019,Not Rated,"Action, Crime, Drama","A political Godfather dies and a lot of thieves dressed up as politicians took over the rule. Question arises regarding the successor of the God, unfolding few names, along with the God's most beloved angel, Lucifer.",Murali Gopy,"Mohanlal, Vivek Oberoi, Manju Warrier",Prithviraj Sukumaran
Chissà perché... capitano tutte a me,1980,,"Action, Comedy, Family","Bud Spencer is, as always, getting into fights - especially after getting a job as sheriff. He's looking after a small boy who's actually an extraterrestrial with special abilities thus the military wants him. Bud's got his hands full.","Marcello Fondato, Francesco Scardamaglia","Bud Spencer, Cary Guffey, Ferruccio Amendola",Michele Lupo
Everything Happens to Me,1938,,Comedy,A cleaner salesman finds himself campaigning for both sides in an election.,"John Dighton, Austin Melford","Max Miller, Chili Bouchier, H.F. Maltby",Roy William Neill
Todo me pasa a mí,2001,,"Comedy, Drama","Longtime friends Angel and Edu share a flat. Angel is a pretty boy, but a very straight arrow sort of young man. He's planning his upcoming wedding. As the wedding date approaches, Edu - a punk rocker and jealous friend, tries to stop the ceremony in several ways; apparently unwilling to lose his long time flat mate. Meanwhile, in the flat downstairs, the young lesbia... Read all","Miquel García Borda, Toni Martín","Javier Albalá, Jordi Collet, Lola Dueñas",Miquel García Borda
Arjun Patiala,2019,15,"Action, Comedy","This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together, will they be able to accomplish their mission of a crime-free town with their goofy style of policing?",Ritesh Shah,"Diljit Dosanjh, Kriti Sanon, Varun Sharma",Rohit Jugraj
Once upon a Night,2018,,Horror,"A psychology student with a severe fear of being alone imprisons himself in a house for one night to face his fears. Only, not all those fears are unreal...",,"Rich Tanksley, Folaremi Agunbiade, Ade Bantu",
Once Upon a Night,,,Drama,,"See writer, See producer",See preliminary cast,See company contact information
Saaho,2019,18,"Action, Thriller","An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure.","Sujeeth, K.G.R Ashok, Abbas Dalal","Prabhas, Shraddha Kapoor, Jackie Shroff",Sujeeth
L'assedio,1998,R,"Drama, Romance","While in exile in Italy, an African woman finds herself trying to get back home and free her imprisoned husband. But the only man that can help her do so is in love with her.","Clare Peploe, Bernardo Bertolucci, James Lasdun","Thandiwe Newton, David Thewlis, Claudio Santamaria",Bernardo Bertolucci
Lo stato d'assedio,1969,,Drama,A wealthy shipbuilding family falls apart in the wake of labor unrest and economic crisis.,Gianfranco Calligarich,"Joan Collins, Faith Domergue, Massimo Serato",Romano Scavolini
Besieged,,,Drama,"What was supposed to be an exciting first date with a rich, handsome guy turns into a nightmare for a TV personality.",Jane Gam-Dede,"Stanley Akpos, Ejike Asiegbu, Esther Audu",Ike Nnaebue
Made in China,2019,15,"Comedy, Drama","Story of Failed Gujarati Businessman, who jumps into unknown world of China to get once in a life time business idea, which will change his life.","Niren Bhatt, Parinda Joshi, Mikhil Musale","Rajkummar Rao, Boman Irani, Mouni Roy",Mikhil Musale
